Timestamp (UTC),Aktual AWS (mm/jam),LSTM (Pre-Trained),LSTM (Fine-Tuned),Selisih LSTM FT (mm)
2026-04-06 01:00,0.6,0.983,0.831,0.231
2026-04-06 02:00,2.1,0.435,0.689,-1.411
2026-04-06 03:00,0.9,3.073,1.464,0.564
2026-04-06 04:00,0.6,1.011,0.871,0.271
2026-04-06 05:00,0.6,0.418,0.71,0.11
2026-04-06 06:00,2.4,0.832,0.56,-1.84
2026-04-06 07:00,0.3,4.38,2.386,2.086
2026-04-06 08:00,1.2,0.0,0.857,-0.343
2026-04-06 09:00,0.0,0.548,0.793,0.793
2026-04-06 10:00,0.0,0.0,0.796,0.796
2026-04-06 11:00,0.6,0.0,0.0,-0.6
2026-04-06 12:00,0.3,1.0,1.025,0.725
2026-04-06 13:00,1.5,0.0,1.034,-0.466
2026-04-06 14:00,0.0,2.733,1.419,1.419
2026-04-06 15:00,0.0,0.0,0.902,0.902
2026-04-06 16:00,0.9,0.0,0.0,-0.9
2026-04-06 17:00,0.0,1.508,1.06,1.06
2026-04-06 23:00,0.9,0.0,0.0,-0.9
2026-04-07 00:00,0.6,1.415,0.842,0.242
2026-04-07 01:00,0.6,0.655,0.681,0.081
