 Timestamp (UTC)  Aktual GSMaP (mm/jam)  XGBoost (Pre-Trained)  LSTM (Pre-Trained)  Selisih XGB (mm)  Selisih LSTM (mm)
2024-01-01 01:00                  0.000                  0.000               0.000             0.000              0.000
2024-01-01 02:00                  0.000                  0.000               0.000             0.000              0.000
2024-01-01 03:00                  0.000                  0.000               0.000             0.000              0.000
2024-01-01 04:00                  0.000                  0.000               0.000             0.000              0.000
2024-01-01 05:00                  0.000                  0.000               0.000             0.000              0.000
2024-01-01 12:00                  0.339                  0.000               0.000            -0.339             -0.339
2024-01-01 13:00                  0.608                  0.578               0.623            -0.030              0.016
2024-01-01 14:00                  0.962                  0.910               0.811            -0.052             -0.151
2024-01-01 15:00                  1.413                  1.294               1.237            -0.120             -0.176
2024-01-01 16:00                  1.675                  1.690               1.721             0.015              0.045
2024-01-01 17:00                  1.679                  1.727               1.610             0.048             -0.069
2024-01-01 18:00                  1.572                  1.441               1.467            -0.131             -0.105
2024-01-01 19:00                  1.455                  1.328               1.294            -0.127             -0.162
2024-01-01 20:00                  1.220                  1.287               1.231             0.067              0.011
2024-01-01 21:00                  0.948                  1.030               0.920             0.082             -0.028
2024-01-01 22:00                  0.587                  0.678               0.698             0.090              0.111
2024-01-01 23:00                  0.589                  0.425               0.462            -0.164             -0.127
2024-01-02 04:00                  0.201                  0.000               0.000            -0.201             -0.201
2024-01-02 06:00                  0.206                  0.000               0.000            -0.206             -0.206
2024-01-02 07:00                  0.247                  0.344               0.317             0.098              0.070
