Timestamp (UTC),Aktual AWS (mm/jam),XGBoost (Pre-Trained),XGBoost (Fine-Tuned),Selisih XGB FT (mm)
2026-04-06 01:00,0.6,0.997,1.367,0.767
2026-04-06 02:00,2.1,0.56,0.959,-1.141
2026-04-06 03:00,0.9,2.926,3.0,2.1
2026-04-06 04:00,0.6,0.635,1.039,0.439
2026-04-06 05:00,0.6,0.455,1.062,0.462
2026-04-06 06:00,2.4,0.649,1.123,-1.277
2026-04-06 07:00,0.3,3.304,3.422,3.122
2026-04-06 08:00,1.2,0.0,0.0,-1.2
2026-04-06 09:00,0.0,1.936,2.279,2.279
2026-04-06 10:00,0.0,0.0,0.0,0.0
2026-04-06 11:00,0.6,0.0,0.0,-0.6
2026-04-06 12:00,0.3,1.089,1.559,1.259
2026-04-06 13:00,1.5,0.0,0.0,-1.5
2026-04-06 14:00,0.0,2.709,2.735,2.735
2026-04-06 15:00,0.0,0.0,0.0,0.0
2026-04-06 16:00,0.9,0.0,0.0,-0.9
2026-04-06 17:00,0.0,1.568,1.874,1.874
2026-04-06 23:00,0.9,0.0,0.0,-0.9
2026-04-07 00:00,0.6,0.0,0.0,-0.6
2026-04-07 01:00,0.6,0.811,1.423,0.823
