Metrik,XGBoost (Pre-Trained) on AWS,XGBoost (Fine-Tuned) on AWS,LSTM (Pre-Trained) on AWS,LSTM (Fine-Tuned) on AWS
Total Data Samples (N),1320,1320,1320,1320
Rain Samples (Positive Class Count),146,146,146,146
Positive Class Ratio (PR-AUC Baseline),0.1106 (11.06%),0.1106 (11.06%),0.1106 (11.06%),0.1106 (11.06%)
Classification Accuracy,0.9106060606060606,0.9174242424242425,0.9106060606060606,0.9174242424242425
Classification F1-Score,0.562962962962963,0.5477178423236515,0.5597014925373134,0.6175438596491228
Classification Precision,0.6129032258064516,0.6947368421052632,0.6147540983606558,0.6330935251798561
Classification Recall,0.5205479452054794,0.4520547945205479,0.5136986301369864,0.6027397260273972
Frequency Bias Index (FBI),0.8493150684873335,0.6506849315023926,0.8356164383504411,0.9520547945140271
ROC-AUC,0.8086975799864645,0.8335803131782222,0.771058435042356,0.8674330820750974
PR-AUC,0.5227658819317953,0.5294012879483919,0.5276595252621377,0.5942465270210454
CSI (Critical Success Index),0.3917525773175683,0.37714285714070206,0.3886010362674166,0.4467005076119457
POD (Probability of Detection),0.520547945201914,0.45205479451745173,0.5136986301334678,0.602739726023269
FAR (False Alarm Ratio),0.38709677419042665,0.30526315789152353,0.3852459016361865,0.3669064748175043
ETS (Equitable Threat Score),0.34548021649054084,0.3373555013105589,0.34264057936575365,0.39986485697146734
HSS (Heidke Skill Score),0.5135418748750734,0.5045113299814019,0.5103980687504699,0.5712906570682795
Regression RMSE (Rainy only),3.277704210166155,3.2399051677227244,3.428711318366558,3.1856953707806475
Regression MAE (Rainy only),1.7865221121539807,1.8259678036382756,1.931002641295734,1.5303747006883361
NRMSE Range % (Rainy only),19.86%,19.64%,20.78%,19.31%
Rasio RMSE/SD (Rainy only),1.0376,1.0256,1.0854,1.0084
Regression R2 (Rainy only),0.0798955310391224,0.06597058331825709,0.09504895958220222,0.07323597727081757
Regression Bias,-0.6123599673787209,-0.6415392146535115,-0.46151269486505686,-0.9624708597382455
Pearson Correlation,0.2826579753679742,0.25684739305326254,0.30830011284818293,0.2706214649114471
