Metrik,XGBoost (Pre-Trained),LSTM (Pre-Trained)
Total Data Samples (N),17513,17513
Rain Samples (Positive Class Count),5553,5553
Positive Class Ratio (PR-AUC Baseline),0.3171 (31.71%),0.3171 (31.71%)
Classification Accuracy,0.967852452463884,0.9653971335579284
Classification F1-Score,0.9475644966005402,0.943034404963339
Classification Precision,0.9812885802469136,0.9864306784660767
Classification Recall,0.9160813974428237,0.9032955159373312
Frequency Bias Index (FBI),0.9335494327388918,0.9157212317664477
ROC-AUC,0.9863079223800808,0.9865373397849967
PR-AUC,0.980414672162978,0.9810211724412496
CSI (Critical Success Index),0.9003539823007255,0.8922091782282296
POD (Probability of Detection),0.9160813974426587,0.9032955159371684
FAR (False Alarm Ratio),0.018711419753082808,0.013569321533920634
ETS (Equitable Threat Score),0.8594700629962687,0.8488647874843365
HSS (Heidke Skill Score),0.9244247381014242,0.9182551295592141
Regression RMSE (Rainy only),0.2638858182714535,0.22002814090694445
Regression MAE (Rainy only),0.12751638810956198,0.11783119761877267
NRMSE Range % (Rainy only),1.77%,1.47%
Rasio RMSE/SD (Rainy only),0.2652,0.2211
Regression R2 (Rainy only),0.9310952379172427,0.953092969757733
Regression Bias,-0.028152009651035346,-0.043971294656264426
Pearson Correlation,0.9649327634178679,0.976264805141378
